date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_nl,cet1_nl,gdp_nl,defl_nl,credit_nl,shadow_rate,d_ssr
2018-07-01,-0.4,0.0,-0.3195257575757577,-0.6653850299202058,0.49933333333333335,1.47,16.04,2594.8496678721835,465.0077993763272,1363.6014206516675,-1.4195203530212608,-0.15724721262921681
2018-10-01,-0.4,0.0,-0.31531800845988467,-0.7039966995708068,0.5003333333333333,1.53,16.42,2595.335896511016,465.53279540830437,1363.3176201088397,-1.2585859379783686,0.1609344150428922
2019-01-01,-0.4,0.0,-0.3085468253968253,-0.5956010811279476,0.23933333333333331,1.46,16.35,2596.160413889142,467.18298853736934,1363.093806972386,-1.6809078454968416,-0.422321907518473
2019-04-01,-0.4,0.0,-0.31707121212121203,-0.62165374021382,0.07100000000000001,1.49,16.3,2596.457434318199,467.1561839897287,1362.979725569921,-2.229125920389082,-0.5482180748922405
2019-07-01,-0.5,-0.09999999999999998,-0.39670760399021265,-0.7715982914566095,-0.3773333333333333,1.46,16.44,2596.669154803251,467.7907800817476,1363.0525457084077,-3.8010388308985963,-1.5719129105095142
2019-10-01,-0.5,0.0,-0.4029517598343683,-0.6702383127938005,-0.21366666666666667,1.53,16.46,2597.238786475814,468.2354940783619,1363.2180092392978,-3.2857957831215665,0.5152430477770298
2020-01-01,-0.5,0.0,-0.4055409090909093,-0.6779279697819203,-0.277,1.41,16.02,2595.904130112505,468.9949494271171,1364.2014343024953,-2.5152862437136467,0.7705095394079198
2020-04-01,-0.5,0.0,-0.3006666666666667,-0.6174826982521057,-0.2743333333333333,1.36,16.62,2587.189316022484,468.9816300423173,1364.61261541547,-2.3966787841918253,0.11860745952182139
2020-07-01,-0.5,0.0,-0.4717361189535103,-0.6372423091255274,-0.4146666666666667,1.33,17.16,2593.3723048218058,469.7406352545439,1364.019480313032,-2.477503656614483,-0.08082487242265746
2020-10-01,-0.5,0.0,-0.5226948051948054,-0.7270324244760122,-0.5413333333333333,1.39,17.03,2594.0078961638715,470.25253850171316,1363.7325235148276,-2.7423680641898613,-0.26486440757537855
2021-01-01,-0.5,0.0,-0.542445652173913,-0.6817923451480228,-0.4183333333333334,1.33,16.88,2595.2083060515283,471.45281468185453,1364.414437135667,-2.358996961006913,0.3833711031829483
2021-04-01,-0.5,0.0,-0.5403847763347763,-0.6869436935186485,-0.23933333333333331,1.3,17.23,2598.198660370984,471.92581594186817,1365.162873937062,-2.0281967744898766,0.33080018651703647
2021-07-01,-0.5,0.0,-0.5458181818181816,-0.7270800543433031,-0.39999999999999997,1.26,17.03,2600.2342788132614,472.77368843587766,1365.227254645958,-2.0980098079982397,-0.0698130335083631
2021-10-01,-0.5,0.0,-0.5663765606374299,-0.7711943532035069,-0.25466666666666665,1.32,16.97,2600.9642192556857,473.35546245967134,1366.1335155609195,-1.104579991634524,0.9934298163637156
2022-01-01,-0.5,0.0,-0.529025879933851,-0.6440142765325547,0.16066666666666665,1.27,15.61,2601.4398807419543,475.8644388884589,1367.4136299839681,-0.45508182434162436,0.6494981672928997
