date,policy_rate,inflation,credit_growth,gdp_growth,nim_ea,nim_de,nim_es,nim_it,nim_fr,nim_nl,cet1_ea,cet1_de,cet1_es,cet1_it,cet1_fr,cet1_nl,yield_de,yield_es,yield_it,yield_fr,yield_nl,shadow_rate
2018-10-01,-0.4000000000000001,1.8999999999999997,4.061132010986723,0.5345177240407617,1.46,1.04,2.38,1.5,1.17,1.53,14.4,15.38,11.93,12.71,14.35,16.42,0.3000802139,1.52739494487206,3.278,0.7609333333333334,0.5003333333333333,-1.2585859379783686
2019-01-01,-0.4000000000000001,1.4333333333333333,3.745229411438126,0.7444003819770062,1.38,0.92,2.32,1.44,1.1,1.46,14.35,15.36,11.77,13.06,14.33,16.35,0.06639321790000001,1.26219329004329,2.7573333333333334,0.5446333333333333,0.23933333333333331,-1.6809078454968416
2019-04-01,-0.4000000000000001,1.4000000000000001,3.951254236222749,0.3447335156439468,1.4,0.99,2.35,1.44,1.1,1.49,14.33,14.33,11.89,13.31,14.54,16.3,-0.1631028708,0.8137939393939394,2.515333333333333,0.25146666666666667,0.07100000000000001,-2.229125920389082
2019-07-01,-0.43333333333333335,0.9333333333333332,3.9214391518971987,0.19058950586468,1.39,0.98,2.35,1.4,1.08,1.46,14.37,14.26,11.92,13.62,14.51,16.44,-0.5440378945000001,0.22676137147876266,1.32,-0.22853333333333334,-0.3773333333333333,-3.8010388308985963
2019-10-01,-0.5,1.0,3.471629919315074,-0.1068928644832434,1.44,1.05,2.35,1.41,1.13,1.53,14.94,15.04,12.21,13.97,15.3,16.46,-0.3737902837666667,0.341324706694272,1.2133333333333334,-0.046433333333333326,-0.21366666666666667,-3.2857957831215665
2020-01-01,-0.5,1.0999999999999999,3.896160168671596,-3.2148320499879146,1.35,1.0,2.27,1.34,1.06,1.41,14.42,14.37,11.85,14.03,14.65,16.02,-0.4403333333333333,0.4007939393939393,1.2603333333333333,-0.08020000000000001,-0.277,-2.5152862437136467
2020-04-01,-0.5,0.2333333333333333,7.065135717495029,-11.088510549329678,1.28,0.97,2.06,1.28,1.01,1.36,14.89,14.83,12.25,14.78,15.06,16.62,-0.4667619047666667,0.6955334776334777,1.672,-0.005366666666666666,-0.2743333333333333,-2.3966787841918253
2020-07-01,-0.5,-0.033333333333333326,7.133439055896207,11.45268923006839,1.27,0.93,2.08,1.2,1.0,1.33,15.2,15.46,12.54,15.13,15.35,17.16,-0.5234892402333333,0.3194301712779973,1.0696666666666668,-0.17453333333333335,-0.4146666666666667,-2.477503656614483
2020-10-01,-0.5,-0.3,6.977793438930806,0.3814187372152,1.28,0.94,2.12,1.2,1.02,1.39,15.65,15.9,12.91,15.5,15.92,17.03,-0.6135115440333334,0.1021529581529581,0.6706666666666666,-0.3182,-0.5413333333333333,-2.7423680641898613
2021-01-01,-0.5,1.0333333333333334,6.419896695074502,0.8323384195987993,1.19,0.87,1.9,1.14,0.98,1.33,15.49,15.44,12.81,15.51,15.8,16.88,-0.46459420290000003,0.20446956521739135,0.6366666666666666,-0.17533333333333334,-0.4183333333333334,-2.358996961006913
