date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_es,cet1_es,gdp_es,defl_es,credit_es,shadow_rate,d_ssr
2020-04-01,-0.5,0.0,-0.3006666666666667,-0.6174826982521057,0.6955334776334777,2.06,12.25,2622.49647666867,465.4191592107452,1402.858033880696,-2.3966787841918253,0.11860745952182139
2020-07-01,-0.5,0.0,-0.4717361189535103,-0.6372423091255274,0.3194301712779973,2.08,12.54,2637.907231590806,465.7780005806616,1402.5458090206635,-2.477503656614483,-0.08082487242265746
2020-10-01,-0.5,0.0,-0.5226948051948054,-0.7270324244760122,0.1021529581529581,2.12,12.91,2639.1880441242374,466.818034554434,1402.5823075849676,-2.7423680641898613,-0.26486440757537855
2021-01-01,-0.5,0.0,-0.542445652173913,-0.6817923451480228,0.20446956521739135,1.9,12.81,2640.4697039268067,467.70224440952114,1401.7878176474132,-2.358996961006913,0.3833711031829483
2021-04-01,-0.5,0.0,-0.5403847763347763,-0.6869436935186485,0.4431071428571431,1.92,13.06,2642.003712390011,467.1643159983011,1401.8918503736297,-2.0281967744898766,0.33080018651703647
2021-07-01,-0.5,0.0,-0.5458181818181816,-0.7270800543433031,0.29375757575757566,1.93,13.06,2645.45272825909,468.3211965429906,1401.4757786232092,-2.0980098079982397,-0.0698130335083631
2021-10-01,-0.5,0.0,-0.5663765606374299,-0.7711943532035069,0.45366666666666666,1.94,12.88,2649.986187494202,470.88544854295355,1402.1678027536045,-1.104579991634524,0.9934298163637156
2022-01-01,-0.5,0.0,-0.529025879933851,-0.6440142765325547,1.0006738785369234,2.02,12.75,2650.891090074838,471.530444399446,1398.9542293384682,-0.45508182434162436,0.6494981672928997
2022-04-01,-0.5,0.0,-0.35761642743221705,-0.09147505928284842,2.1297791068580563,2.01,12.51,2653.2332824372293,471.4167324571373,1399.9824850163739,0.13309197029585612,0.5881737946374805
2022-07-01,0.375,0.875,0.4807406048058236,0.5990098632581939,2.4870510383336466,2.06,12.48,2654.4502404274294,472.10445979815063,1400.2603214937085,0.9641465815365446,0.8310546112406885
2022-10-01,1.75,1.375,1.7721233766233766,2.0034943889010672,3.17673015873016,2.25,12.6,2658.1450388398434,475.30923691211456,1400.061185879855,2.406973720705214,1.4428271391686693
2023-01-01,2.75,1.0,2.631926284584983,2.7882159535012936,3.3516077733860334,2.53,12.71,2661.071063583273,477.6649420756402,1398.3590347181855,3.1516502412917298,0.7446765205865158
2023-04-01,3.375,0.625,3.356432806324113,3.0694670557019275,3.4087070707070697,2.54,12.7,2661.5644585563805,477.72263944158186,1398.025775303334,3.5083048601693836,0.3566546188776538
2023-07-01,3.875,0.5,3.7773871635610767,3.44153993286,3.6018343685300196,2.63,12.63,2662.2129780031833,478.0693227636726,1396.929402752095,3.852122220311377,0.3438173601419936
2023-10-01,3.875,0.0,3.957455988455987,3.3362831094301586,3.5838787878787866,2.63,12.67,2662.2129780031833,478.0693227636726,1396.4293141021383,3.649820347827656,-0.2023018724837211
2024-01-01,3.875,0.0,3.9236147186147203,3.2256574667666666,3.21602611832612,2.9,12.66,2662.2129780031833,478.0693227636726,1395.4832693493652,3.5082068348345445,-0.14161351299311153
2024-04-01,3.75,-0.125,3.808171936758893,3.258066867679365,3.3121622843340237,2.88,12.77,2662.2129780031833,478.0693227636726,1396.197721976746,3.5675258272331214,0.05931899239857685
2024-07-01,3.5,-0.25,3.5553770939205704,2.834862513457576,3.1157011418533163,2.81,12.82,2662.2129780031833,478.0693227636726,1396.1838721534384,3.134941681647609,-0.4325841455855124
2024-10-01,3.125,-0.375,2.9964871698349937,2.326711740726984,2.9712925810904065,2.8,12.88,2662.2129780031833,478.0693227636726,1396.7580789444594,2.5353919645504015,-0.5995497170972075
2025-01-01,2.625,-0.5,2.5568363354,2.1887812707793652,3.220740764790767,2.71,13.04,2662.2129780031833,478.0693227636726,1396.8853769019208,2.312963616589141,-0.22242834796126054
2025-04-01,2.125,-0.5,2.1076911977,1.8223808436435485,3.201812554112553,2.66,13.18,2662.2129780031833,478.0693227636726,1398.399459411829,1.8280410635548237,-0.4849225530343173
2025-07-01,,,2.0115719305,1.8734979863651515,3.2553110922893533,2.62,13.28,2662.2129780031833,478.0693227636726,1398.882836908525,1.783202939440973,-0.044838124113850686
2025-10-01,,,2.040622463766667,1.9477280748953125,3.200698688750863,2.6,13.29,2662.2129780031833,478.0693227636726,1400.093618104476,1.83674956361126,0.053546624170287105
2026-01-01,,,2.0277272727,,3.2792036075036095,,,2662.2129780031833,478.0693227636726,,1.9155848818949748,0.0788353182837147
2026-04-01,,,,,3.4657,,,2662.2129780031833,478.0693227636726,,2.2719401964192434,0.3563553145242686
